athlete_id,meet_name,meet_date,event,result_distance,result_time,wind
124,GVSU Big Meet-Friday,2026-02-13,400,,56.71,
124,Iowa State Classic,2026-02-06,200,,25.97,
124,Iowa State Classic,2026-02-06,400,,57.56,
124,2026 Meyo Invitational (Notre Dame Indoor T&F),2026-01-30,400,,57.48,
124,2026 Meyo Invitational (Notre Dame Indoor T&F),2026-01-30,4x400,,3:48.06,
124,Larry Wieczorek Invitational,2026-01-23,200,,26.10,
124,Larry Wieczorek Invitational,2026-01-23,400,,57.42,
124,Larry Wieczorek Invitational,2026-01-23,4x400,,3:48.92,
124,Tierney Classic,2026-01-18,60,,7.98,
124,Tierney Classic,2026-01-18,60,,7.97,
124,Tierney Classic,2026-01-18,4x400,,3:52.42,
124,Minnesota Open,2026-01-10,60,,8.20,
124,Minnesota Open,2026-01-10,200,,26.37,
124,2025 Blue Demon Holiday Invite,2025-12-12,400,,57.78,
124,Horizon League Championship,2025-05-09,400,,57.70,
124,Horizon League Championship,2025-05-09,4x400,,3:47.15,
124,Badger Challenge,2025-05-02,200,,26.63,(1.2)
124,Badger Challenge,2025-05-02,400,,57.99,
124,UW-Whitewater Drake Alternative,2025-04-24,200,,25.67,(0.8)
124,UW-Whitewater Drake Alternative,2025-04-24,400,,58.45,
124,Gibson Invitational,2025-04-17,400,,59.26,
124,Marquette Invitational,2025-04-10,400,,59.85,
124,Marquette Invitational,2025-04-10,4x400,,,
124,Redbird Challenge,2025-03-28,200,,,
124,Redbird Challenge,2025-03-28,400,,59.92,
124,Redbird Challenge,2025-03-28,4x400,,4:01.92,
124,2025 Horizon League Indoor Track & Field Championship,2025-03-01,400,,59.62,
124,2025 Horizon League Indoor Track & Field Championship,2025-03-01,4x400,,3:53.83,
124,2025 Horizon League Indoor Track & Field Championship,2025-03-01,DMR,,12:13.37,
124,GVSU Big Meet- Friday,2025-02-14,400,,58.43,
124,GVSU Big Meet- Friday,2025-02-14,4x400,,,
124,UW-La Crosse Mark Guthrie Legacy Invitational,2025-02-08,200,,26.66,
124,UW-La Crosse Mark Guthrie Legacy Invitational,2025-02-08,400,,59.91,
124,Meyo Invitational (2025 Notre Dame Indoor Track & Field),2025-01-31,200,,26.65,
124,Meyo Invitational (2025 Notre Dame Indoor Track & Field),2025-01-31,400,,58.94,
124,John Tierney Classic,2025-01-25,4x400,,,
124,Badgers Midwest Invite,2025-01-11,300,,41.61,
124,Badgers Midwest Invite,2025-01-11,600,,,
124,2024 Blue Demon Holiday Invite,2024-12-13,400,,59.13,
144,Warriors Quad,2026-04-18,100,,12.93,(0.4)
144,Warriors Quad,2026-04-18,100,,13.08,(-0.3)
144,Marquette Invitational,2026-04-10,100,,12.69,(2.5)
144,Marquette Invitational,2026-04-10,200,,26.76,(-2.8)
144,Marquette Invitational,2026-04-10,4x100,,47.16,
144,UW-La Crosse Ashton May Invitational,2026-04-03,100,,12.90,(1.1)
144,UW-La Crosse Ashton May Invitational,2026-04-03,200,,26.61,(0.8)
144,Joyce Morton-Kief Invite,2026-03-27,100,,12.71,(2.5)
144,Joyce Morton-Kief Invite,2026-03-27,200,,26.35,(1.9)
144,Panther Tune-up,2026-02-21,60,,7.98,
144,Panther Tune-up,2026-02-21,60,,8.10,
144,Panther Tune-up,2026-02-21,200,,27.07,
144,UW-La Crosse Mark Guthrie Legacy Invitational,2026-02-07,60,,8.02,
144,UW-La Crosse Mark Guthrie Legacy Invitational,2026-02-07,200,,26.75,
144,Larry Wieczorek Invitational,2026-01-23,60,,8.05,
144,Larry Wieczorek Invitational,2026-01-23,200,,26.55,
144,Tierney Classic,2026-01-18,60,,7.96,
144,Tierney Classic,2026-01-18,60,,8.00,
144,Tierney Classic,2026-01-18,200,,26.80,
144,Minnesota Open,2026-01-10,60,,8.07,
144,Minnesota Open,2026-01-10,200,,26.93,
144,2025 Blue Demon Holiday Invite,2025-12-12,60,,8.04,
144,2025 Blue Demon Holiday Invite,2025-12-12,300,,43.48,
144,Horizon League Championship,2025-05-09,100,,12.52,(2.3)
144,Badger Challenge,2025-05-02,100,,12.67,(-0.2)
144,Badger Challenge,2025-05-02,200,,26.87,(1.2)
144,Fighting Illini Twilight,2025-04-26,100,,12.46,(4.2)
144,Green & White Invite,2025-04-17,100,,12.52,(3.0)
144,Green & White Invite,2025-04-17,100,,12.67,(2.5)
144,Green & White Invite,2025-04-17,200,,26.40,(3.4)
144,Marquette Invitational,2025-04-10,100,,12.68,(1.4)
144,Marquette Invitational,2025-04-10,200,,26.84,(-0.2)
144,Marquette Invitational,2025-04-10,4x100,,47.28,
144,Ashton May Invitational,2025-04-05,100,,12.63,(2.8)
144,Ashton May Invitational,2025-04-05,200,,26.97,(3.1)
144,Redbird Challenge,2025-03-28,100,,12.75,(2.8)
144,Redbird Challenge,2025-03-28,200,,,
144,Redbird Challenge,2025-03-28,4x100,,49.27,
144,2025 Horizon League Indoor Track & Field Championship,2025-03-01,60,,7.92,
144,2025 Horizon League Indoor Track & Field Championship,2025-03-01,200,,27.32,
144,Panther Tune-up,2025-02-22,60,,7.83,
144,Panther Tune-up,2025-02-22,60,,7.89,
144,Dick Hendricks Invite,2025-02-15,60,,8.10,
144,Dick Hendricks Invite,2025-02-15,60,,8.01,
144,UW-La Crosse Mark Guthrie Legacy Invitational,2025-02-08,60,,8.00,
144,UW-La Crosse Mark Guthrie Legacy Invitational,2025-02-08,200,,27.24,
144,John Tierney Classic,2025-01-25,60,,7.98,
144,John Tierney Classic,2025-01-25,60,,7.95,
144,John Tierney Classic,2025-01-25,200,,27.40,
144,Badgers Midwest Invite,2025-01-11,60,,7.93,
144,Badgers Midwest Invite,2025-01-11,300,,43.42,
144,2024 Blue Demon Holiday Invite,2024-12-13,60,,7.89,
144,2024 Blue Demon Holiday Invite,2024-12-13,200,,26.59,
35,Gibson Invitational,2026-04-16,100,,12.39,(0.9)
35,Gibson Invitational,2026-04-16,200,,25.71,(0.6)
35,Gibson Invitational,2026-04-16,4x100,,46.51,
35,Gibson Invitational,2026-04-16,4x400,,,
35,Marquette Invitational,2026-04-10,200,,25.67,(-2.8)
35,Marquette Invitational,2026-04-10,400,,59.87,
